#data counter step time
0 1 4 702
0 2 6 826
0 3 10 1072
0 4 12 1200
0 5 16 1756
0 6 19 2683
0 7 22 3665
0 8 25 3853
0 9 28 4552
0 10 31 5623
0 11 33 5636
0 12 37 7679
0 13 39 7831
0 14 43 8081
0 15 46 9491
0 16 48 9625
0 17 51 9774
0 18 55 11657
0 19 58 12339
0 20 61 12706
0 21 64 13148
0 22 66 13231
0 23 70 13828
0 24 73 14786
0 25 76 15456
0 26 79 16096
0 27 82 16867
0 28 85 17477
0 29 88 18083
0 30 91 19174
0 31 93 19276
0 32 97 20295
0 33 100 20755
0 34 103 21112
0 35 106 21972
0 36 109 22456
0 37 112 22871
0 38 115 25931
0 39 118 26408
0 40 121 26693
0 41 124 28243
0 42 127 29714
0 43 130 31400
0 44 132 31479
0 45 136 31757
0 46 138 31825
84 47 141 31931
0 48 145 32567
0 49 148 33174
0 50 151 34469
0 51 154 34768
0 52 156 34801
0 53 160 35509
0 54 163 35827
0 55 166 36247
0 56 168 36285
128 57 171 36422
0 58 175 36676
0 59 178 37540
0 60 181 38149
0 61 184 38774
0 62 187 39293
0 63 190 40922
0 64 193 42507
0 65 196 43164
0 66 198 43298
0 67 202 43703
0 68 205 44653
0 69 208 45807
0 70 210 45975
0 71 214 46787
0 72 217 47429
0 73 220 47968
0 74 223 48288
0 75 226 48706
0 76 229 49811
0 77 231 49856
0 78 235 50529
0 79 238 51459
0 80 241 51729
0 81 244 53975
0 82 246 54025
0 83 250 54818
0 84 253 55367
0 85 256 55790
0 86 259 56712
0 87 262 57492
0 88 265 57762
0 89 268 58001
0 90 271 58798
0 91 273 58859
0 92 277 59088
0 93 280 61730
0 94 283 62158
0 95 286 62794
0 96 289 63135
0 97 291 63233
0 98 294 63316
0 99 298 66231
0 100 301 66721
