#data counter step time
0 1 0 0
1 2 3 702
0 3 4 702
1 4 5 826
0 5 6 826
1 6 9 1072
0 7 10 1072
1 8 11 1200
0 9 12 1200
1 10 15 1756
0 11 16 1756
1 12 18 2683
0 13 19 2683
1 14 21 3665
0 15 22 3665
1 16 24 3853
0 17 25 3853
1 18 27 4552
0 19 28 4552
1 20 30 5623
0 21 31 5623
1 22 32 5636
0 23 33 5636
1 24 36 7679
0 25 37 7679
1 26 38 7831
0 27 39 7831
1 28 42 8081
0 29 43 8081
1 30 45 9491
0 31 46 9491
1 32 47 9625
0 33 48 9625
1 34 50 9774
0 35 51 9774
1 36 54 11657
0 37 55 11657
1 38 57 12339
0 39 58 12339
1 40 60 12706
0 41 61 12706
1 42 63 13148
0 43 64 13148
1 44 65 13231
0 45 66 13231
1 46 69 13828
0 47 70 13828
1 48 72 14786
0 49 73 14786
1 50 75 15456
0 51 76 15456
1 52 78 16096
0 53 79 16096
1 54 81 16867
0 55 82 16867
1 56 84 17477
0 57 85 17477
1 58 87 18083
0 59 88 18083
1 60 90 19174
0 61 91 19174
1 62 92 19276
0 63 93 19276
1 64 96 20295
0 65 97 20295
1 66 99 20755
0 67 100 20755
1 68 102 21112
0 69 103 21112
1 70 105 21972
0 71 106 21972
1 72 108 22456
0 73 109 22456
1 74 111 22871
0 75 112 22871
1 76 114 25931
0 77 115 25931
1 78 117 26408
0 79 118 26408
1 80 120 26693
0 81 121 26693
1 82 123 28243
0 83 124 28243
1 84 126 29714
0 85 127 29714
1 86 129 31400
0 87 130 31400
1 88 131 31479
0 89 132 31479
1 90 135 31757
0 91 136 31757
1 92 137 31825
0 93 138 31825
1 94 139 31847
0 95 141 31931
1 96 144 32567
0 97 145 32567
1 98 147 33174
0 99 148 33174
1 100 150 34469
0 101 151 34469
1 102 153 34768
0 103 154 34768
1 104 155 34801
0 105 156 34801
1 106 159 35509
0 107 160 35509
1 108 162 35827
0 109 163 35827
1 110 165 36247
0 111 166 36247
1 112 167 36285
0 113 168 36285
1 114 169 36294
0 115 171 36422
1 116 174 36676
0 117 175 36676
1 118 177 37540
0 119 178 37540
1 120 180 38149
0 121 181 38149
1 122 183 38774
0 123 184 38774
1 124 186 39293
0 125 187 39293
1 126 189 40922
0 127 190 40922
1 128 192 42507
0 129 193 42507
1 130 195 43164
0 131 196 43164
1 132 197 43298
0 133 198 43298
1 134 201 43703
0 135 202 43703
1 136 204 44653
0 137 205 44653
1 138 207 45807
0 139 208 45807
1 140 209 45975
0 141 210 45975
1 142 213 46787
0 143 214 46787
1 144 216 47429
0 145 217 47429
1 146 219 47968
0 147 220 47968
1 148 222 48288
0 149 223 48288
1 150 225 48706
0 151 226 48706
1 152 228 49811
0 153 229 49811
1 154 230 49856
0 155 231 49856
1 156 234 50529
0 157 235 50529
1 158 237 51459
0 159 238 51459
1 160 240 51729
0 161 241 51729
1 162 243 53975
0 163 244 53975
1 164 245 54025
0 165 246 54025
1 166 249 54818
0 167 250 54818
1 168 252 55367
0 169 253 55367
1 170 255 55790
0 171 256 55790
1 172 258 56712
0 173 259 56712
1 174 261 57492
0 175 262 57492
1 176 264 57762
0 177 265 57762
1 178 267 58001
0 179 268 58001
1 180 270 58798
0 181 271 58798
1 182 272 58859
0 183 273 58859
1 184 276 59088
0 185 277 59088
1 186 279 61730
0 187 280 61730
1 188 282 62158
0 189 283 62158
1 190 285 62794
0 191 286 62794
1 192 288 63135
0 193 289 63135
1 194 290 63233
0 195 291 63233
1 196 293 63316
0 197 294 63316
1 198 297 66231
0 199 298 66231
1 200 300 66721
0 201 301 66721
0 202 301 66721
